Primary code,UNS,Category,High_Cu,Low_Cu,High_Zn,Low_Zn,High_Pb,Low_Pb,High_Sn,Low_Sn,High_Ni,Low_Ni,High_Al,Low_Al,High_Mn,Low_Mn,High_Fe,Low_Fe,,,,,,
C75400,C75400,Cast,66.5,63.5,22.5,16.9,0.1,0,0,0,16,14,0,0,0.5,0,0.25,0,,,,,,
C83600,C83600,Cast,86,84,6,4,6,4,6,4,1,0,0.005,0,0,0,0.3,0,,,,,,
C85200,C85200,Cast,74,70,27,20,3.8,1.5,2,0.7,1,0,0.005,0,0,0,0.6,0,,,,,,
C85400,C85400,Cast,70,65,32,24,3.8,1.5,1.5,0.5,1,0,0.35,0,0,0,0.7,0,,,,,,
C85700,C85700,Cast,64,58,40,32,1.5,0.8,1.5,0.5,1,0,0.8,0,0,0,0.7,0,,,,,,
C85800,C85800,Cast,68.5,57,41,31,1.5,0,1.5,0,0.5,0,0.55,0,0.25,0,0.5,0,,,,,,
C90300,C90300,Cast,89,86,5,3,0.3,0,9,7.5,1,0,0.005,0,0,0,0.2,0,,,,,,
C90500,C90500,Cast,89,86,3,1,0.3,0,11,9,1,0,0.005,0,0,0,0.2,0,,,,,,
C90700,C90700,Cast,90,88,0.5,0,0.5,0,12,10,0.5,0,0.005,0,0,0,0.15,0,,,,,,
C91100,C91100,Cast,85,82,0.25,0,0.25,0,17,15,0.5,0,0.005,0,0,0,0.25,0,,,,,,
C91300,C91300,Cast,82,79,0.25,0,0.25,0,20,18,0.5,0,0.005,0,0,0,0.25,0,,,,,,
C93200,C93200,Cast,85,81,4,1,8,6,7.5,6.3,1,0,0.005,0,0,0,0.2,0,,,,,,
C93400,C93400,Cast,85,82,0.8,0,9,7,9,7,1,0,0.005,0,0,0,0.2,0,,,,,,
C93500,C93500,Cast,86,83,2,0,10,8,6,4.3,1,0,0.005,0,0,0,0.2,0,,,,,,
C93600,C93600,Cast,83,79,1,0,13,11,8,6,1,0,0.005,0,0,0,0.2,0,,,,,,
C93700,C93700,Cast,82,78,0.8,0,11,8,11,9,0.5,0,0.005,0,0,0,0.7,0,,,,,,
C93800,C93800,Cast,79,75,0.8,0,16,13,7.5,6.3,1,0,0.005,0,0,0,0.15,0,,,,,,
C93900,C93900,Cast,79.5,76.5,1.5,0,18,14,7,5,0.8,0,0.005,0,0,0,0.4,0,,,,,,
C94300,C94300,Cast,72,67,0.8,0,27,23,6,4.5,1,0,0.005,0,0,0,0.15,0,,,,,,
C95200,C95200,Cast,89,86,0,0,0,0,0,0,0,0,9.5,8.5,0,0,4,2.5,,,,,,
C95300,C95300,Cast,90,86,0,0,0,0,0,0,0,0,11,9,0,0,1.5,0.8,,,,,,
C95400,C95400,Cast,87,83,0,0,0,0,0,0,1.5,0,11.5,10,0.5,0,5,3,,,,,,
C95410,C95410,Cast,85.5,83,0,0,0,0,0,0,2.5,1.5,11.5,10,0.5,0,5,3,,,,,,
C95500,C95500,Cast,84,78,0,0,0,0,0,0,5.5,3,11.5,10,3.5,0,5,3,,,,,,
CC212E,C95710,Cast,77,68,1,0,0.05,0,0.5,0,4.5,1.5,9,7,15,8,4,2,,,,,,
CC330G,C95210,Cast,92,88,0.5,0,0.3,0,0.3,0,1,0,10.5,8,0.5,0,1.2,0,,,,,,
CC331G,NA,Cast,89.5,83,0.5,0,0.1,0,0.2,0,1.5,0,10.5,8.5,1,0,3.5,1.5,,,,,,
CC332G,NA,Cast,86,80,0.5,0,0.1,0,0.2,0,4,1.5,10.5,8.5,2,0,3,1,,,,,,
CC333G,C95820,Cast,83,76,0.5,0,0.03,0,0.1,0,6,4,10.5,8.5,3,0,5.5,4,,,,,,
CC334G,C95520,Cast,78,72,0.5,0,0.05,0,0.2,0,7.5,4,12,10,2.5,0,7,4,,,,,,
CC380H,NA,Cast,84.5,84.5,0.5,0,0.03,0,0,0,11,9,0.01,0,1.5,1,1.8,1,,,,,,
CC381H,C96400,Cast,64.5,64.5,0.5,0,0.03,0,0,0,31,29,0.01,0,1.2,0.6,1.5,0.5,,,,,,
CC382H,C96400,Cast,67.95,62.885,0.2,0,0.005,0,0,0,32,29,0.01,0,1,0.5,1,0.5,,,,,,
CC383H,C96400,Cast,69.1,64.08,0.5,0,0.01,0,0,0,31,29,0.01,0,1.2,0.6,1.5,0.5,,,,,,
CC480K,C90250,Cast,90,88,0.5,0,1,0,11,9,2,0,0.01,0,0.1,0,0.2,0,,,,,,
CC481K,C90710,Cast,89.5,87,0.05,0,0.25,0,11.5,10,0.1,0,0.01,0,0.05,0,0.1,0,,,,,,
CC482K,C92500,Cast,87,83.5,2,0,2.5,1,12.5,10.5,2,0,0.01,0,0.2,0,0.2,0,,,,,,
CC483K,C91700,Cast,88.5,85,0.5,0,0.7,0,13,11,2,0,0.01,0,0.2,0,0.2,0,,,,,,
CC484K,C91700,Cast,87.5,84.5,0.4,0,0.3,0,13,11,2.5,1.5,0.01,0,0.2,0,0.2,0,,,,,,
CC490K,NA,Cast,86,81,9.5,7,6,3,3.5,2,2,0,0.01,0,0,0,0.5,0,,,,,,
CC491K,C83600,Cast,87,83,6,4,6,4,6,4,2,0,0.01,0,0,0,0.3,0,,,,,,
CC492K,NA,Cast,89,85,3.5,1.5,3.5,2.5,8,6,2,0,0.01,0,0,0,0.2,0,,,,,,
CC493K,NA,Cast,85,81,5,2,8,5,8,6,2,0,0.01,0,0,0,0.2,0,,,,,,
CC494K,NA,Cast,87,80,2,0,10,8,6,4,2,0,0.01,0,0.2,0,0.25,0,,,,,,
CC495K,C93700,Cast,82,78,2,0,11,8,11,9,2,0,0.01,0,0.2,0,0.25,0,,,,,,
CC496K,C93800,Cast,80,74,2,0,17,13,8,6,2,0.5,0.01,0,0.2,0,0.25,0,,,,,,
CC497K,C94100,Cast,78,70,2,0,23,18,6,4,2,0.5,0.01,0,0.2,0,0.25,0,,,,,,
CC750S,C85400,Cast,66,63,36,27.4,3,1,1.5,0,1,0,0.1,0,0.2,0,0.8,0,,,,,,
CC751S,NA,Cast,66,63.5,34.885,28.35,2.2,1.3,0.8,0,0.8,0,0.1,0,0.15,0,0.5,0.25,,,,,,
CC752S,C85710,Cast,64.5,61.5,36.7,31.4,2.5,1.5,0.3,0,0.2,0,0.7,0.3,0.1,0,0.3,0,,,,,,
CC753S,C85710,Cast,61,58.5,38.3,32.7,2.5,1.8,0.8,0,1.2,0.5,0.8,0.4,0.2,0,0.8,0.5,,,,,,
CC754S,C85710,Cast,63,58,41.5,30.5,2.5,0.5,1,0,1,0,0.8,0,0.5,0,0.7,0,,,,,,
CC755S,C85710,Cast,61,59.5,38.85,35.85,1.7,1.2,0.3,0,0.2,0,0.7,0.4,0.05,0,0.2,0.05,,,,,,
CC760S,C83700,Cast,88,83,17,10.84,0.5,0,0.3,0,0.1,0,0.01,0,0.1,0,0.15,0,,,,,,
CC761S,C87500,Cast,83,78,19,9,0.8,0,0.3,0,1,0,0.1,0,0.2,0,0.6,0,,,,,,
CC762S,C86300,Cast,67,60,33,13.6,0.2,0,0.2,0,3,0,7,3,5,2.5,4,1.5,,,,,,
CC763S,C86550,Cast,67,59,37.5,19,1.5,0,1,0,2.5,0,2.5,1,3.5,1,2,0.5,,,,,,
CC764S,C86550,Cast,66,55,42.5,20.9,0.3,0,0.3,0,3,0,3,1,4,1,2.5,0.5,,,,,,
CC765S,NA,Cast,65,57,41.5,20,0.5,0,1,0,6,0,2.5,0.5,3,0.5,2,0.5,,,,,,
CC766S,NA,Cast,64,60,39.7,30.2,0.5,0,0.5,0,2,0,1.8,0.3,0.5,0,0.5,0,,,,,,
CC767S,NA,Cast,64,59,40.9,33,0.1,0,0.1,0,1,0,0.8,0.1,0.5,0,0.5,0,,,,,,
CW300G,C60800,Tube,95.6,93.1,0,0,0,0,0,0,0,0,6.5,4,0,0,0,0,,,,,,
CW301G,NA,PSS,91.3,90.3,0,0,0,0,0,0,0,0,6.4,6,0,0,0.7,0.5,,,,,,
CW301G,NA,RBS,91.3,90.3,0,0,0,0,0,0,0,0,6.4,6,0,0,0.7,0.5,,,,,,
CW302G,C64210,PSS,91,90,0,0,0,0,0,0,0,0,7.6,7.3,0,0,0,0,,,,,,
CW302G,C64210,RBS,91,90,0,0,0,0,0,0,0,0,7.6,7.3,0,0,0,0,,,,,,
CW303G,C61400,PSS,91.8,87.8,0,0,0,0,0,0,0,0,8.5,6.5,0,0,3.5,1.5,,,,,,
CW304G,NA,PSS,88.8,83.3,0,0,0,0,0,0,4,2,9.5,8,0,0,3,1,,,,,,
CW305G,NA,PSS,90.3,88.3,0,0,0,0,0,0,0,0,10,9,0,0,1.5,0.5,,,,,,
CW305G,NA,RBS,90.3,88.3,0,0,0,0,0,0,0,0,10,9,0,0,1.5,0.5,,,,,,
CW306G,C63230,PSS,88.8,84.8,0,0,0,0,0,0,0,0,11,9,0,0,4,2,,,,,,
CW306G,C63230,RBS,88.8,84.8,0,0,0,0,0,0,0,0,11,9,0,0,4,2,,,,,,
CW307G,C62730,PSS,84.3,77.8,0,0,0,0,0,0,6,4,11,8.5,0,0,5,3,,,,,,
CW307G,C62730,RBS,84.3,77.8,0,0,0,0,0,0,6,4,11,8.5,0,0,5,3,,,,,,
CW308G,C63020,PSS,79.3,73.3,0,0,0,0,0,0,7,5,12.5,10.5,0,0,7,5,,,,,,
CW308G,C63020,RBS,79.3,73.3,0,0,0,0,0,0,7,5,12.5,10.5,0,0,7,5,,,,,,
CW350H,C71300,PSS,75.8,73.8,0,0,0,0,0,0,26,24,0,0,0,0,0,0,,,,,,
CW351H,C72500,PSS,89.5,86.5,0,0,0,0,2.8,1.8,10.5,8.5,0,0,0,0,0,0,,,,,,
CW352H,C70600,PSS,89.3,85.8,0,0,0,0,0,0,11,9,0,0,1,0.5,2,1,,,,,,
CW352H,C70600,RBS,89.3,85.8,0,0,0,0,0,0,11,9,0,0,1,0.5,2,1,,,,,,
CW352H,C70600,Tube,89.3,85.8,0,0,0,0,0,0,11,9,0,0,1,0.5,2,1,,,,,,
CW353H,C71640,Tube,67.8,62.8,0,0,0,0,0,0,32,29,0,0,2.5,1.5,2.5,1.5,,,,,,
CW354H,C71500,PSS,68.9,65.3,0,0,0,0,0,0,32,30,0,0,1.5,0.5,1,0.4,,,,,,
CW354H,C71500,RBS,68.9,65.3,0,0,0,0,0,0,32,30,0,0,1.5,0.5,1,0.4,,,,,,
CW354H,C71500,Tube,68.9,65.3,0,0,0,0,0,0,32,30,0,0,1.5,0.5,1,0.4,,,,,,
CW400J,C79900,PSS,50,47,43,35.5,3.3,2.3,0,0,8,6,0,0,3,1.5,0,0,,,,,,
CW400J,C79900,RBS,50,47,43,35.5,3.3,2.3,0,0,8,6,0,0,3,1.5,0,0,,,,,,
CW400J,C79900,Wire,50,47,43,35.5,3.3,2.3,0,0,8,6,0,0,3,1.5,0,0,,,,,,
CW401J,C78800,PSS,64,61,30,25,0,0,0,0,11,9,0,0,0,0,0,0,,,,,,
CW401J,C78800,Wire,64,61,30,24.15,0.05,0,0,0,11,9,0,0,0.5,0,0.3,0,,,,,,
CW402J,C79830,PSS,48,45,44.8,38.3,2.5,1,0,0,11,9,0,0,0,0,0,0,,,,,,
CW402J,C79830,RBS,48,45,44.8,38.3,2.5,1,0,0,11,9,0,0,0,0,0,0,,,,,,
CW402J,C79830,Wire,48,45,44.8,38.3,2.5,1,0,0,11,9,0,0,0,0,0,0,,,,,,
CW403J,C75700,PSS,66,63,25.8,20.8,0,0,0,0,13,11,0,0,0,0,0,0,,,,,,
CW403J,C75700,RBS,66,63,25.8,20.8,0,0,0,0,13,11,0,0,0,0,0,0,,,,,,
CW403J,C75700,Tube,66,63,25.8,20.8,0,0,0,0,13,11,0,0,0,0,0,0,,,,,,
CW403J,C75700,Wire,66,63,25.8,20.8,0,0,0,0,13,11,0,0,0,0,0,0,,,,,,
CW404J,C79200,PSS,63,60,28.3,22.3,1.5,0.5,0,0,13,11,0,0,0,0,0,0,,,,,,
CW405J,C76200,PSS,60,57,31.8,26.3,0,0,0,0,13.5,11,0,0,0,0,0,0,,,,,,
CW406J,C79300,RBS,58,56,32.3,27.3,1.5,0.5,0,0,13,11,0,0,0,0,0,0,,,,,,
CW406J,C79300,Wire,58,56,32.3,27.3,1.5,0.5,0,0,13,11,0,0,0,0,0,0,,,,,,
CW407J,NA,RBS,45,42,41.3,33.3,2.5,1,0,0,13,11,0,0,6,4.5,0,0,,,,,,
CW408J,C76300,RBS,62.5,59.5,22.8,16.8,1.5,0.5,0,0,19,17,0,0,0,0,0,0,,,,,,
CW408J,C76300,Wire,62.5,59.5,22.8,16.8,1.5,0.5,0,0,19,17,0,0,0,0,0,0,,,,,,
CW409J,C75200,PSS,63,60,22.8,17.8,0,0,0,0,19,17,0,0,0,0,0,0,,,,,,
CW409J,C75200,RBS,63,60,22.8,17.8,0,0,0,0,19,17,0,0,0,0,0,0,,,,,,
CW409J,C75200,Tube,63,60,22.8,17.8,0,0,0,0,19,17,0,0,0,0,0,0,,,,,,
CW409J,C75200,Wire,63,60,22.8,17.8,0,0,0,0,19,17,0,0,0,0,0,0,,,,,,
CW410J,C77010,PSS,56,53,29.8,24.8,0,0,0,0,19,17,0,0,0,0,0,0,,,,,,
CW450K,C51180,PSS,96.3,94.9,0,0,0,0,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW450K,C51180,Wire,96.3,94.9,0,0,0,0,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW451K,C51000,PSS,95.3,93.9,0,0,0,0,5.5,4.5,0,0,0,0,0,0,0,0,,,,,,
CW451K,C51000,RBS,95.3,93.9,0,0,0,0,5.5,4.5,0,0,0,0,0,0,0,0,,,,,,
CW451K,C51000,Wire,95.3,93.9,0,0,0,0,5.5,4.5,0,0,0,0,0,0,0,0,,,,,,
CW452K,C51900,PSS,94.3,92.4,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,,,,,,
CW452K,C51900,RBS,94.3,92.4,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,,,,,,
CW452K,C51900,Tube,94.3,92.4,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,,,,,,
CW452K,C51900,Wire,94.3,92.4,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,PSS,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,RBS,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,Tube,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,Wire,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
